"Timestamp","What is your age? ","What is your gender?","Sitting and Reading

Imagine you are sitting in a quiet, comfortable place and reading a book or article. What is the likelihood that you would fall asleep while reading?","Watching TV

Think of a time when you are relaxed and watching television. How likely are you to doze off during a program or show?","Sitting inactive in a public place (e.g., a theater or meeting)

Imagine you are in a situation where you are quietly sitting for a period, such as at a lecture, theater, or meeting. How likely would you be to doze off?","As a passenger in a car for an hour without a break

Picture yourself as a passenger in a car on a long, uninterrupted trip, such as a highway journey. What is the likelihood that you would fall asleep?","Lying down to rest in the afternoon when circumstances permit

Imagine you have an opportunity to lie down and rest in the afternoon. How likely are you to doze off when lying down to rest?","Sitting quietly after lunch

Imagine you are sitting quietly after lunch (no alcohol involved). How likely are you to fall asleep?","In a car, while stopped for a few minutes in traffic

Picture yourself in a car that is briefly stopped in traffic, like at a red light or traffic jam. How likely are you to doze off in this situation?","Do you use your mobile phone before going to bed?

Consider if you regularly use your phone for any purpose just before you go to sleep, such as checking social media, browsing, or messaging.","How often do you check your phone immediately after waking up?

Reflect on how often you reach for your phone upon waking in the morning.","Do you feel your mobile phone use affects your sleep quality?
Think about whether you feel that your phone habits, such as screen time or notifications, impact how well you sleep at night.","How many calls do you receive per day? Please indicate the approximate number. ","How many texts do you receive per day (including whatsapp texts)? Please indicate the approximate number. ","Phone Usage
As per your opinion, do you think that you use your smartphone too much? ","Reducing Mobile Usage
Have you ever tried to reduce the usage of your mobile phone? ","Are you awakened by your mobile
phone at night?","Did you stay up at late to use the mobile phone?","Do you expect your mobile phone to be within reach every time ?","Do you perceive that having accessibility to mobile is stressful?"
"2024/11/14 6:22:45 pm GMT+5:30","19","Male","Slight chance of dozing","Slight chance of dozing","Moderate chance of dozing","Would never doze","High chance of dozing","Slight chance of dozing","Would never doze","Yes","Sometimes","Not at all","0-3","More than 50","No","Yes","Occasionally","Occasionally","Now and then but not daily","Not at all stressful"
"2024/11/14 10:41:43 pm GMT+5:30","18","Male","Slight chance of dozing","Slight chance of dozing","Moderate chance of dozing","Would never doze","High chance of dozing","High chance of dozing","Slight chance of dozing","Yes","Always","Not at all","4-6","11-20","No","Yes","Never","Occasionally","All day","Not at all stressful"
"2024/11/14 10:43:29 pm GMT+5:30","17","Male","Would never doze","Moderate chance of dozing","Slight chance of dozing","High chance of dozing","Moderate chance of dozing","Slight chance of dozing","Would never doze","Yes","Never","Not at all","7-9","11-20","No","Yes","Never","Occasionally","Daily but not all day","Not at all stressful"
"2024/11/14 10:43:56 pm GMT+5:30","18","Female","Slight chance of dozing","Would never doze","Would never doze","High chance of dozing","Moderate chance of dozing","Moderate chance of dozing","Would never doze","Yes","Sometimes","Not at all","0-3","11-20","Yes","Yes","Never","A few times a month","Daily but not all day","A little bit stressful"
"2024/11/14 10:43:58 pm GMT+5:30","18","Male","Moderate chance of dozing","Slight chance of dozing","High chance of dozing","High chance of dozing","High chance of dozing","High chance of dozing","Moderate chance of dozing","Yes","Sometimes","Not at all","10-12","More than 50","Yes","No","Never","Never","All day","A little bit stressful"
"2024/11/14 10:44:53 pm GMT+5:30","18","Female","Moderate chance of dozing","Slight chance of dozing","Moderate chance of dozing","Slight chance of dozing","High chance of dozing","High chance of dozing","Would never doze","Yes","Sometimes","Very much","4-6","0-10","Yes","Yes","Never","Almost every day","All day","Rather stressful"
"2024/11/14 10:45:20 pm GMT+5:30","18","Male","Slight chance of dozing","Slight chance of dozing","Would never doze","High chance of dozing","High chance of dozing","High chance of dozing","Moderate chance of dozing","Yes","Always","Very much","7-9","0-10","No","No","A few times a month","A few times a month","Around the clock","Rather stressful"
"2024/11/14 10:45:32 pm GMT+5:30","18","Female","Moderate chance of dozing","Slight chance of dozing","Moderate chance of dozing","Would never doze","Slight chance of dozing","Slight chance of dozing","Would never doze","Yes","Often","Moderately","0-3","0-10","Yes","Yes","A few times a week","A few times a week","Around the clock","A little bit stressful"
"2024/11/14 10:45:32 pm GMT+5:30","18","Male","Moderate chance of dozing","Slight chance of dozing","Would never doze","High chance of dozing","Slight chance of dozing","Slight chance of dozing","Would never doze","Yes","Sometimes","Very much","4-6","21-30","Yes","Yes","Never","A few times a month","All day","Very stressful"
"2024/11/14 10:45:59 pm GMT+5:30","18","Female","Slight chance of dozing","High chance of dozing","Slight chance of dozing","Would never doze","High chance of dozing","Slight chance of dozing","Slight chance of dozing","Yes","Often","Moderately","4-6","0-10","Yes","Yes","Occasionally","Occasionally","Now and then but not daily","Very stressful"
